Time Period,Agriculture,Industry,Energy,Services,Transport,Residential
2008-2009,1.00133247408633,0.899041490541332,1.00531193420029,1.00629159341346,0.990057858052154,1.00002215393218
2009-2010,1.00094832285757,1.04889855103284,1.00802214555594,1.00863419375137,0.994312170331302,1.00001886666667
2010-2011,0.996072744954797,0.991092876754908,0.966590957742792,0.985798119941423,0.992362515539705,0.999946039123798
2011-2012,0.998543546037237,0.974402374344394,0.99723993863464,1.001671165316,0.99275767570885,1.0000300430904
2012-2013,1.00093650155007,1.00199698531276,0.986209955264231,0.99872115360586,0.98593376336565,0.999984894549432
2013-2014,1.00370496497263,0.99324081297431,0.991781008892649,0.982337504399074,1.00935361854622,0.999968083791685
2014-2015,1.00612219217714,0.998003073619267,1.00803717199612,1.01065846876539,1.01953318558129,1.00004597609341
2015-2016,1.0011380983214,1.0042742857595,0.989529371092349,0.998495551744374,0.998203073490606,1.00004235920862
2016-2017,1.00202870571409,1.00289018994298,0.998908290005307,1.00248796431994,0.988760756622608,1.00033212743244
2017-2018,0.999040155276856,1.00251702111397,1.00270689891901,0.999015594290256,0.994049725699705,1.00005185777638
